"Id","Age","Practice","Instrument","Apprentissage","Difficultés","Aide","StyleMusic","Intérêts","Projet","Accompagnement","CoursEnLigne","Avantages","DifficultésLearn","IntérêtFormationEnLigne","RemarqueSupplémentaire","TypeInstrument"
"1","60","Oui, mais de manière irrégulière, ou plus depuis un certain temps","Trompette","Oui","Age","Motivation vu l'age","Jazz/Blues","Techniques de jeu (maîtrise de l’instrument)","Jouer en groupe ou en public","1 bon trompettiste","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","Non","2"
"2","30","Oui, mais de manière irrégulière, ou plus depuis un certain temps","Guitare, Harmonica","Oui","Temps et prix des cours","Motivation","Jazz/Blues;Rock/Pop;Metal/Punk;Funk/Soul;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation","Composer mes propres morceaux;Jouer pour moi-même, une forme d'expression et d'introspection","","Oui, mais ce n’était pas adapté à mon fonctionnement","","Contenu derrière un paywall, ou pas en adéquation avec mes objectifs","Oui, mais cela dépendrait du prix","","1, 2"
"3","30","Oui, régulièrement","Flûte à bec, Psaltérion à archet,Tympanon, Vielle à roue, Harpe celtique","Oui","Manque de temps et d'argent","Du temps et de l'argent...","Musiques du monde;Musique ancienne, principalement médiévale, Renaissance et baroque","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Improvisation;Apprendre des morceaux (lecture);Jouer avec d'autres musiciens/musiciennes ","Jouer en groupe ou en public","Un ou une enseignante","Non, et cela ne m’intéresse pas","","","","","1, 2"
"4","45","Oui, mais de manière irrégulière, ou plus depuis un certain temps","Piano","Non","","","Musique Classique;Jazz/Blues","Techniques de jeu (maîtrise de l’instrument)","Jouer en groupe ou en public","","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","Non ","1"
"5","0","Je ne joue pas (je n'ai jamaisjoué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","",""," ",""
"6","30","Je joue de temps en temps (sans vraie régularité)","Piano, Cornet, Trombone","Oui","Discipline et régularité dans l’apprentissage, frustration face à des difficultés ","Soit (1) prendre des cours pour avoir un rendez-vous régulier et une motivation/pression supplémentaire à s’entraîner entre les cours, (2) jouer dans un groupe/atelier pour augmenter la motivation, (3) avoir un objectif précis, comme jouer à un mariage ou une soirée, (4) se motiver tout seul avec un programme précis, se fixer des sessions régulières à heure fixe pour créer une habitude ","Musique Classique;Jazz/Blues;Funk/Soul","Techniques de jeu (maîtrise de l’instrument);Improvisation","Jouer en groupe ou en public;Composer mes propres morceaux","Programme d’apprentissage précis et spécifique à mon objectif, suivi régulier et « gamification » pour motiver (type Duolingo), connection avec d’autres apprentis musiciens, feed-back sur mes performances et conseils ","Oui, et cela m’a aidé","Explications claires, mélange de théorie et démonstration, possibilité de regarder plusieurs fois, au ralenti etc., apprentissage par l’exemple, commentaires sous la vidéo avec d’autres conseils","Grande variété en terme de qualité, parfois manque de pédagogie et didactique, trop peu d’explication, difficile à suivre","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","2, 1"
"7","30","J’ai pratiqué par le passé, mais j’ai arrêté","Guitare.","Oui","Temps, organisation, irrégularité","Développement d’une routine qui inclue la pratique de l’instrument. But à atteindre. Clarifier les raisons de la pratique de l’instrument ou non. Jouer avec d’autres personnes. Avoir une communauté autour de la pratique de l’instrument.","Rock/Pop;Musiques du monde","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture);Faire des reprises de morceaux","Progresser. Partager / chanter / danser avec ses enfants. ","À la maison, intégrable facilement dans une routine, horaire adapté.","Oui, et cela m’a aidé","Gratuité, disponibilité, rythme d’apprentissage personnel, flexibilité","Pas de correction, pas de contrôle de l’erreur, motivation à continuer, pas de suivi des progrès. ","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","Comme pour tout, il faut être au clair avec les raisons qui nous poussent à vouloir apprendre. Développer une routine autour de la pratique de l’instrument peut aider à ne pas arrêter. Avoir des petits objectifs à atteindre peut également aider même si la pratique ne devrait pas s’arrêter si un objectif a été atteint. ","1"
"8","30","Je joue régulièrement","Chant","Oui","motivation, régularité ","des cours réguliers aident","Musique Classique","Techniques de jeu (maîtrise de l’instrument);Compréhension musicale (rythme, harmonie, théorie, solfège);Apprendre des morceaux (lecture)","Jouer en groupe ou en public","un cours par semaine avec ma prof préférée ","Non, et cela ne m’intéresse pas","","","","non","4"
"9","30","J’ai pratiqué par le passé, mais j’ai arrêté","Piano","Non","","","Musique Classique","Techniques de jeu (maîtrise de l’instrument);Apprendre des morceaux (lecture)","Jouer pour moi-même comme un moyen de méditation ","Un guide qui permettrait de fournir des morceaux de difficulté adaptée et évolutive afin d'avoir une progression régulière ","Non, mais j'aimerais essayer","","","Peut-être, si le programme me convainc et correspond à mon rythme et mes besoins","","1"
"10","30","Je ne joue pas (je n'ai jamaisjoué ou très  peu) et cela ne m’intéresse pas","","","","","","","","","","","","","",""
